benchmark_run_dir,run_name,benchmark_cell_dir,experiment_cell,orchestration_mode,mcp_mode,model_id,git_sha,registry_status,include_in_paper,registry_reason,run_status,started_at,finished_at,total_runs,pass,fail,has_wandb,wandb_run_id,wandb_run_url,has_profiling,profiling_dir,profiling_artifact,has_profiling_summary,profiling_gpu_util_mean,profiling_gpu_util_max,profiling_gpu_mem_used_mib_mean,profiling_gpu_mem_used_mib_max,profiling_power_draw_w_mean,profiling_power_draw_w_max,profiling_nvidia_smi_samples,notes
benchmarks/cell_A_direct/raw/8979314_aat_direct,8979314_aat_direct,cell_A_direct,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,,,,,success,2026-04-27T00:56:35.373978+00:00,2026-04-27T01:00:54.053803+00:00,6,6,0,true,vq976ljq,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/vq976ljq,true,profiling/traces/8979314_cell_a,profiling-vq976ljq,true,16.890140845070423,100.0,23809.498591549294,42102.0,95.65571830985915,273.3,355,profiling summary present in meta.json
benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,cell_A_direct,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T07:19:59.939047+00:00,2026-05-05T07:33:38.003068+00:00,75,74,1,true,zkxtrs32,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,false,,,false,,,,,,,,wandb only
benchmarks/cell_A_direct/raw/core_rem16x5_post175_a100_cu_20260505T0940Z_A_post175_15x5_aat_direct,core_rem16x5_post175_a100_cu_20260505T0940Z_A_post175_15x5_aat_direct,cell_A_direct,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T09:42:03.010734+00:00,2026-05-05T09:54:20.051985+00:00,80,79,1,true,u3hr1wuz,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/u3hr1wuz,false,,,false,,,,,,,,wandb only
benchmarks/cell_A_direct/raw/final5x6_a100_20260503T090200Z_A_final5x6_aat_direct,final5x6_a100_20260503T090200Z_A_final5x6_aat_direct,cell_A_direct,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,e5e1331b99c22824949aa8e88a6bbe56b1ff8520,superseded,false,legacy final-six A100 matrix predates the post-PR175 31-scenario evidence set,partial,2026-05-03T09:02:10.871633+00:00,2026-05-03T09:09:47.045102+00:00,30,28,2,true,2kol9oi3,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/2kol9oi3,false,,,false,,,,,,,,wandb only
benchmarks/cell_A70B/raw/final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_A70B_post175_70b_aat_direct_watsonx,final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_A70B_post175_70b_aat_direct_watsonx,cell_A70B,A70B,agent_as_tool,direct,watsonx/meta-llama/llama-3-3-70b-instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T07:22:15.668328+00:00,2026-05-05T07:33:56.758059+00:00,45,42,3,false,,,false,,,false,,,,,,,,
benchmarks/cell_A70B/raw/final6x3_70b_watsonx_post180_envfix_cpu_ixqt_20260504T2115Z_A70B_final6x3_70b_aat_direct_watsonx,final6x3_70b_watsonx_post180_envfix_cpu_ixqt_20260504T2115Z_A70B_final6x3_70b_aat_direct_watsonx,cell_A70B,A70B,agent_as_tool,direct,watsonx/meta-llama/llama-3-3-70b-instruct,97169f0d51ffea200c78e35d6ec47366124d88ae,superseded,false,post-PR180 scored cohort retained for provenance; superseded by post-PR175 clean-floor runs after PR #175 merged over PR #180,partial,2026-05-04T21:00:59.112118+00:00,2026-05-04T21:08:08.976826+00:00,18,17,1,false,,,false,,,false,,,,,,,,
benchmarks/cell_AT_M/raw/profile_spotcheck_20260507T0604Z_at_m,profile_spotcheck_20260507T0604Z_at_m,cell_AT_M,AT_M,agent_as_tool,baseline,openai/Llama-3.1-8B-Instruct,9839593bc5218256f82ee16bb20dbd259504e0a4,,,,success,2026-05-07T06:05:01.521394+00:00,2026-05-07T06:06:08.296424+00:00,1,1,0,true,9a5ttz8w,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/9a5ttz8w,true,profiling/traces/profile_spotcheck_20260507T0604Z_at_m_nvidia_smi,profiling-profile_spotcheck_20260507T0604Z_at_m-nvidia-smi,true,8.75886524822695,100.0,27123.872340425532,37420.0,68.95283687943262,335.21,141,profiling summary present in meta.json
benchmarks/cell_AT_T/raw/profile_spotcheck_20260507T0604Z_at_t,profile_spotcheck_20260507T0604Z_at_t,cell_AT_T,AT_T,agent_as_tool,optimized,openai/Llama-3.1-8B-Instruct,9839593bc5218256f82ee16bb20dbd259504e0a4,,,,success,2026-05-07T06:15:06.093592+00:00,2026-05-07T06:16:12.689201+00:00,1,1,0,true,ig9zgy82,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/ig9zgy82,true,profiling/traces/profile_spotcheck_20260507T0604Z_at_t_nvidia_smi,profiling-ig9zgy82,true,8.92517006802721,100.0,27293.285714285714,37420.0,67.5909523809524,367.83,147,profiling summary present in meta.json
benchmarks/cell_B_mcp_baseline/raw/8979314_aat_mcp_baseline,8979314_aat_mcp_baseline,cell_B_mcp_baseline,B,agent_as_tool,baseline,openai/Llama-3.1-8B-Instruct,,,,,success,2026-04-27T01:02:44.998308+00:00,2026-04-27T01:04:51.604301+00:00,6,6,0,true,qejvnoug,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/qejvnoug,true,profiling/traces/8979314_cell_b,profiling-qejvnoug,true,24.156626506024097,100.0,36024.899598393575,42102.0,119.06148594377511,272.14,249,profiling summary present in meta.json
benchmarks/cell_B_mcp_baseline/raw/core15x5_post175_a100_cu_20260505T0724Z_B_post175_15x5_aat_mcp_baseline,core15x5_post175_a100_cu_20260505T0724Z_B_post175_15x5_aat_mcp_baseline,cell_B_mcp_baseline,B,agent_as_tool,baseline,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T07:33:46.000617+00:00,2026-05-05T07:50:24.752326+00:00,75,74,1,true,es6tv6f1,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/es6tv6f1,false,,,false,,,,,,,,wandb only
benchmarks/cell_B_mcp_baseline/raw/core_rem16x5_post175_a100_cu_20260505T0940Z_B_post175_15x5_aat_mcp_baseline,core_rem16x5_post175_a100_cu_20260505T0940Z_B_post175_15x5_aat_mcp_baseline,cell_B_mcp_baseline,B,agent_as_tool,baseline,openai/Llama-3.1-8B-Instruct,1913c6e4703425f735d8cb8297cb890ba66bbeff,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",partial,2026-05-05T09:54:36.970664+00:00,2026-05-05T10:10:48.252592+00:00,80,79,1,true,36q9nwv1,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/36q9nwv1,false,,,false,,,,,,,,wandb only
