run_name	scenario_id	trial_index	audit_decision	berkeley_label	failure_stage	audit_note	audit_decision_source
core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct	SGT-009	3	confirmed	task_verification	final_answer	Created WO without first analyzing DGA or trends; final answer is meta-narrative ('series of function calls') rather than the requested fault inference + 30-day risk estimate.	akshat:2026-05-07
core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct	SGT-014	1	confirmed	inter_agent_orchestration	tool_selection	list_sensors called after get_sensor_correlation(FM-002), reversing the natural discover-then-correlate order; final answer correct but tool sequence is post-hoc.	akshat:2026-05-07
core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct	SGT-025	5	confirmed	task_verification	verification	Reported four anomalies + trend without verifying against an expected operating range; clarity dim also fails because no thermal threshold is cited.	akshat:2026-05-07
core15x5_post175_a100_cu_20260505T0724Z_B_post175_15x5_aat_mcp_baseline	SGT-010	1	confirmed	task_verification	final_answer	Wrong sensor name 'winding_temp_c' (canonical is 'winding_temp_top_c'); agent acknowledges 'no readings' but still recommends immediate outage maintenance — missing-evidence final answer.	akshat:2026-05-07
core15x5_post175_a100_cu_20260505T0724Z_B_post175_15x5_aat_mcp_baseline	SGT-010	3	confirmed	task_verification	tool_execution	Same wrong-sensor pattern as run01 (winding_temp_c not winding_temp_top_c); agent inverts the maintenance recommendation but the underlying tool-call sequence and missing get_dga_record precondition are identical.	akshat:2026-05-07
core15x5_post175_a100_cu_20260505T0724Z_C_post175_15x5_aat_mcp_optimized	SGT-003	2	confirmed	task_verification	tool_selection	Single analyze_dga call with hand-picked args (h2=15, ch4=10); skipped get_dga_record entirely; final answer is 'Normal/Inconclusive' which doesn't satisfy the task's 'top two candidate failure mechanisms' requirement.	akshat:2026-05-07
core15x5_post175_a100_cu_20260505T0724Z_C_post175_15x5_aat_mcp_optimized	SGT-007	1	confirmed	task_verification	final_answer	Single create_work_order call with no preceding diagnostic; final answer is bare 'WO created' confirmation lacking required playbook fields.	akshat:2026-05-07
core15x5_post175_a100_ixqt_east_20260505T0724Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline	SGT-001	2	confirmed	inter_agent_orchestration	tool_selection	Used get_asset_metadata in place of per-sensor get_sensor_readings; only load_current_a came back populated, oil_temp_c / power_factor / voltages all reported '(no value provided)'.	akshat:2026-05-07
core15x5_post175_a100_ixqt_west4_20260505T0724Z_ZS_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline	SGT-014	5	confirmed	inter_agent_orchestration	tool_execution	Tool calls extracted as the literal asset description string 'Power Transformer T-014' — planner emitted wrong arg shape; sequence broke before failure-mode lookup completed cleanly.	akshat:2026-05-07
core_rem16x5_post175_a100_cu_20260505T0940Z_B_post175_15x5_aat_mcp_baseline	SGT-023	4	evidence_thin			Sequence is reasonable (get_dga_record -> analyze_dga -> search_failure_modes); judge cites general 'improve matching' without naming a specific sequencing or grounding break.	akshat:2026-05-07
core_rem16x5_post175_a100_cu_20260505T0940Z_B_post175_15x5_aat_mcp_baseline	SGT-026	4	relabel_suggested	inter_agent_orchestration	tool_selection	forecast_rul called before get_rul (need current RUL first to anchor the comparison); auto-label flagged verification but the actual primary failure is the inverted sequence.	akshat:2026-05-07
core_rem16x5_post175_a100_cu_20260505T0940Z_C_post175_15x5_aat_mcp_optimized	SGT-013	4	confirmed	inter_agent_orchestration	tool_selection	get_sensor_correlation(FM-004) called before search_failure_modes; agent later finds FM-001 but doesn't re-correlate against it; sequencing inverted.	akshat:2026-05-07
core_rem16x5_post175_a100_ixqt_east_20260505T0918Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline	SGT-004	4	evidence_thin			Judge complaint is general 'improve justification'; PE format trajectory not extracted, so no concrete sequencing or grounding signal beyond the final-answer text.	akshat:2026-05-07
extra15x5_post175_a100_ixqt_west3_20260505T0815Z_D_post175_15x5_aat_mcp_model_optimized	SGT-014	2	confirmed	inter_agent_orchestration	tool_execution	Tool args contain literal strings 'list_failure_modes' and 'D2' as failure_mode_id; both are non-existent IDs; INT8 model produced malformed structured calls.	akshat:2026-05-07
extra15x5_post175_a100_ixqt_west3_20260505T0815Z_D_post175_15x5_aat_mcp_model_optimized	SGT-014	5	confirmed	inter_agent_orchestration	tool_execution	INT8 again uses non-existent failure_mode_ids ('FM-012', 'T1' as a failure_mode_id); pattern mirrors run02 — model invents IDs instead of looking them up first.	akshat:2026-05-07
extra15x5_post175_a100_ixqt_west3_20260505T0815Z_D_post175_15x5_aat_mcp_model_optimized	SGT-022	1	confirmed	inter_agent_orchestration	planning	Agent picked 2 representative units (T-005, T-013) without justifying the selection; 5-call sequence partially redundant; plan-vs-execution drift.	akshat:2026-05-07
extra15x5_post175_a100_ixqt_west4_20260505T0815Z_ZSD_post175_15x5_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized	SGT-001	1	confirmed	task_verification	final_answer	Same T-011 missing-sensor-values pattern as YS rows; final answer enumerates sensors with 'Not available in the results' but treats this as task completion.	akshat:2026-05-07
extra15x5_post175_a100_ixqt_west4_20260505T0815Z_ZSD_post175_15x5_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized	SGT-003	1	confirmed	task_verification	final_answer	Final answer adds unverified failure mechanisms ('low-temperature thermal fault in core lamination') not present in tool outputs.	akshat:2026-05-07
extra15x5_post175_a100_ixqt_west4_20260505T0815Z_ZSD_post175_15x5_exp2_cell_ZSD_verified_pe_self_ask_mcp_model_optimized	SGT-009	5	confirmed	task_verification	final_answer	Asserts 'Arc Discharge' for T-015 with 0.0% 30-day risk — neither claim is grounded in retrievable evidence in the prompt.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_cu_a_yys_envrepair_20260505T0820Z_Y70B_post175_70b_exp2_cell_Y_pe_mcp_baseline_watsonx	SGT-003	3	confirmed	task_verification	final_answer	Final answer admits 'top two are not explicitly listed as two separate mechanisms' — task asked for two distinct candidates; agent emits one with hedge.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_cu_a_yys_envrepair_20260505T0820Z_Y70B_post175_70b_exp2_cell_Y_pe_mcp_baseline_watsonx	SGT-012	1	confirmed	task_verification	verification	Final answer self-contradicts ('not abnormally high' + 'three anomalous readings') without resolving; task asked for elevated-vs-baseline assessment with peak.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_cu_a_yys_envrepair_20260505T0820Z_Y70B_post175_70b_exp2_cell_Y_pe_mcp_baseline_watsonx	SGT-014	2	confirmed	task_verification	final_answer	Internal contradiction: 'low-temperature overheating' diagnosis matched against 'Arc Discharge' (FM-006); two failure mode classes are physically incompatible.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_cu_b_zzs_envrepair_20260505T0820Z_Z70B_post175_70b_exp2_cell_Z_verified_pe_mcp_baseline_watsonx	SGT-007	1	confirmed	task_verification	tool_execution	WO-20D523B9 created for T-013 with 'invalid severity level' and 'session issue' errors flagged in the trajectory; agent emits the WO as success rather than retrying or replanning.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_cu_b_zzs_envrepair_20260505T0820Z_Z70B_post175_70b_exp2_cell_Z_verified_pe_mcp_baseline_watsonx	SGT-014	3	confirmed	task_verification	final_answer	Same low-temp + Arc Discharge (FM-006) contradiction as Y70B / YS_TP / YS70B SGT-014 rows; the pattern recurs on Z70B as well.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_cu_b_zzs_envrepair_20260505T0820Z_ZS70B_post175_70b_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline_watsonx	SGT-022	2	confirmed	task_verification	planning	Fleet-status snapshot only fully populated T-011; healthy/degraded/critical counts asserted without per-unit retrieval — same shape as Z70B/B70B/C70B SGT-022 rows.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_A70B_post175_70b_aat_direct_watsonx	SGT-003	3	evidence_thin			Sequence is reasonable (get_dga_record -> analyze_dga -> search_failure_modes); judge cites grounding gap but trajectory looks standard, so the dim flag is weak.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_A70B_post175_70b_aat_direct_watsonx	SGT-009	2	confirmed	inter_agent_orchestration	tool_selection	Called trend_analysis with sensor_id='dga_h2_ppm' (DGA isn't an IoT sensor); tried winding_temp_top_c after; created WO at the end despite error noise.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_A70B_post175_70b_aat_direct_watsonx	SGT-009	3	confirmed	inter_agent_orchestration	tool_execution	Same wrong-sensor pattern as run02 (winding_temp_c not winding_temp_top_c); list_sensors called as recovery but agent then proceeds to WO creation anyway.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_B70B_post175_70b_aat_mcp_baseline_watsonx	SGT-010	2	confirmed	task_verification	final_answer	Wrong sensor name (winding_temp_c) returned no data; agent then asserts 'critical health' and '0-day RUL' which the called tools didn't actually return; missing-evidence final answer.	akshat:2026-05-07
final15x3_70b_watsonx_post175_cpu_ixqt_abc_20260505T0722Z_B70B_post175_70b_aat_mcp_baseline_watsonx	SGT-018	3	confirmed	task_verification	tool_execution	Asked about T-006; agent's get_fault_record(F006) returned a T-008 record; agent emits T-008 fault details as the answer for the T-006 task without correcting the lookup.	akshat:2026-05-07
