run_name,cell,orchestration_mode,mcp_mode,scenario_id,trial_index,failure_stage,taxonomy_label,symptom,artifact_path,evidence_note,candidate_mitigation,priority,audit_status,audit_note,audit_decision_source
8979314_aat_direct,A,agent_as_tool,direct,SGT-009,1,verification,task verification failure,missing-evidence final answer,results/judge_logs/8979314_aat_direct/SGT-009_judge_log.json,score_6d=0.1667; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct; judge_suggestion=The agent should have handled the 'No readings found' error more effectively and provided a more accurate diagnosis based on available data.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Trajectory shows full WO created (FM-001 Partial Discharge) despite get_sensor_readings likely returning empty per judge's 'No readings found' note; missing-evidence final answer pattern fits.,akshat:2026-05-05
8979314_aat_direct,A,agent_as_tool,direct,SGT-009,2,verification,task verification failure,missing-evidence final answer,results/judge_logs/8979314_aat_direct/SGT-009_judge_log.json,"score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to provide a clear step-by-step analysis and made incorrect or unverified tool calls, such as retrieving empty sensor readings and using an unverified failure mode ID.",block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,5 tool calls including unverified FM-001 lookup and create_work_order; final answer is generic 'comprehensive analysis' with no grounded evidence — symptom fits.,akshat:2026-05-05
8979314_aat_direct,A,agent_as_tool,direct,SGT-009,3,tool selection,inter-agent / orchestration failure,tool-call sequencing failure,results/judge_logs/8979314_aat_direct/SGT-009_judge_log.json,"score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to follow the expected multi-step workflow and made multiple tool calls in a single turn without clear justification or explanation. The final answer lacks specific details about the transformer's sensor behavior, fault mode inference, and risk estimation.",add a stage-aware plan/execution guard requiring evidence acquisition before inference and work-order creation,must-fix,confirmed,Trajectory skips IoT evidence (no list_sensors / get_sensor_readings); straight to forecast_rul + correlation + estimate_downtime + create_work_order. Sequencing-failure label fits.,akshat:2026-05-05
8979314_aat_direct,A,agent_as_tool,direct,SGT-010,1,verification,task verification failure,missing-evidence final answer,results/judge_logs/8979314_aat_direct/SGT-010_judge_log.json,"score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to properly retrieve and analyze thermal anomaly data, and made unjustified claims about winding temperature trends.",block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Final answer claims H2/CH4 levels and 'significant increase in winding temperature' but trend_analysis returned no readings; classic missing-evidence final answer.,akshat:2026-05-05
8979314_aat_direct,A,agent_as_tool,direct,SGT-010,3,verification,task verification failure,missing-evidence final answer,results/judge_logs/8979314_aat_direct/SGT-010_judge_log.json,"score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=Provide a clear plan and execute it, handling missing data more robustly.",block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Agent acknowledges missing thermal readings but still recommends scheduled maintenance based on hardcoded analyze_dga values (h2=10..c2h6=50); recommendation unsupported.,akshat:2026-05-05
8979314_aat_mcp_baseline,B,agent_as_tool,baseline,SGT-009,1,verification,task verification failure,missing-evidence final answer,results/judge_logs/8979314_aat_mcp_baseline/SGT-009_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to retrieve relevant sensor data and made incorrect assumptions about the fault mode and risk assessment. It should have handled the 'No readings found' error and provided a more accurate and grounded response.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,WO created with FM-001 fault_type but get_sensor_readings returned empty per judge; missing-evidence final answer fits.,akshat:2026-05-05
8979314_aat_mcp_baseline,B,agent_as_tool,baseline,SGT-009,2,verification,task verification failure,missing-evidence final answer,results/judge_logs/8979314_aat_mcp_baseline/SGT-009_judge_log.json,score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=Improve sensor data retrieval and fault mode identification,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Final answer admits 'FM-007 not found' but still creates WO + recommends investigation; missing-evidence pattern fits.,akshat:2026-05-05
8979314_aat_mcp_baseline,B,agent_as_tool,baseline,SGT-009,3,verification,task verification failure,missing-evidence final answer,results/judge_logs/8979314_aat_mcp_baseline/SGT-009_judge_log.json,"score_6d=0.0; failed_dims=task_completion+data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=The agent failed to retrieve relevant sensor data and relied on generic failure mode information, leading to an ungrounded recommendation.",block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,7 tool calls but judge flags lack of grounded sensor data; agent recommends 'de-energize within 48h' on weak evidence — symptom fits.,akshat:2026-05-05
8979314_aat_mcp_baseline,B,agent_as_tool,baseline,SGT-010,3,verification,task verification failure,missing-evidence final answer,results/judge_logs/8979314_aat_mcp_baseline/SGT-010_judge_log.json,score_6d=0.3333; failed_dims=data_retrieval_accuracy+generalized_result_verification+agent_sequence_correct; judge_suggestion=Provide a more comprehensive analysis by retrieving multiple sensor readings and integrating them into the decision-making process.,block final answers/work orders when required evidence retrieval fails or returns empty,must-fix,confirmed,Recommendation cites 'spark discharge fault (D1)' from analyze_dga but admits no thermal readings; immediate outage recommendation only partially grounded.,akshat:2026-05-05
8998340_exp2_cell_Y_pe_mcp_baseline,Y,plan_execute,baseline,SGT-009,1,planning,specification failure,under-constrained fault/risk adjudication,results/judge_logs/8998340_exp2_cell_Y_pe_mcp_baseline/SGT-009_judge_log.json,score_6d=0.1667; failed_dims=task_completion+generalized_result_verification+agent_sequence_correct+clarity_and_justification; judge_suggestion=Improve fault mode inference and provide clear justification for risk assessment and maintenance recommendations.,add an explicit fault/risk adjudication step that cites the deciding tool evidence,should-fix,relabel_suggested,"Surface symptom 'under-constrained adjudication' is downstream of an upstream tool routing error: get_sensor_correlation called with failure_mode_id='T-015' (a transformer ID, not a failure mode). Better symptom: tool routing or argument-contract failure (inter-agent / orchestration).",akshat:2026-05-05
