registry_version,cohort_id,row_group,run_name,status,include_in_paper,reason,superseded_by,git_sha,pr_floor,scenario_set,trials,scenario_count,raw_json_count,latency_count,judge_count,artifact_path,score_source,notes
1,core15_broad,A,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core15_broad,5,15,75,75,75,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,results/metrics/scenario_scores.jsonl,
1,core15_broad,B,core15x5_post175_a100_cu_20260505T0724Z_B_post175_15x5_aat_mcp_baseline,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core15_broad,5,15,75,75,75,benchmarks/cell_B_mcp_baseline/raw/core15x5_post175_a100_cu_20260505T0724Z_B_post175_15x5_aat_mcp_baseline,results/metrics/scenario_scores.jsonl,
1,core15_broad,C,core15x5_post175_a100_cu_20260505T0724Z_C_post175_15x5_aat_mcp_optimized,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core15_broad,5,15,75,75,75,benchmarks/cell_C_mcp_optimized/raw/core15x5_post175_a100_cu_20260505T0724Z_C_post175_15x5_aat_mcp_optimized,results/metrics/scenario_scores.jsonl,
1,core15_broad,Y,core15x5_post175_a100_ixqt_east_20260505T0724Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core15_broad,5,15,75,75,75,benchmarks/cell_Y_plan_execute/raw/core15x5_post175_a100_ixqt_east_20260505T0724Z_Y_post175_15x5_exp2_cell_Y_pe_mcp_baseline,results/metrics/scenario_scores.jsonl,
1,core15_broad,YS,core15x5_post175_a100_ixqt_east_20260505T0724Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core15_broad,5,15,75,75,75,benchmarks/cell_Y_plan_execute/raw/core15x5_post175_a100_ixqt_east_20260505T0724Z_YS_post175_15x5_exp2_cell_YS_pe_self_ask_mcp_baseline,results/metrics/scenario_scores.jsonl,
1,core15_broad,Z,core15x5_post175_a100_ixqt_west3_20260505T0724Z_Z_post175_15x5_exp2_cell_Z_verified_pe_mcp_baseline,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core15_broad,5,15,75,75,75,benchmarks/cell_Z_hybrid/raw/core15x5_post175_a100_ixqt_west3_20260505T0724Z_Z_post175_15x5_exp2_cell_Z_verified_pe_mcp_baseline,results/metrics/scenario_scores.jsonl,
1,core15_broad,ZS,core15x5_post175_a100_ixqt_west4_20260505T0724Z_ZS_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core15_broad,5,15,75,75,75,benchmarks/cell_Z_hybrid/raw/core15x5_post175_a100_ixqt_west4_20260505T0724Z_ZS_post175_15x5_exp2_cell_ZS_verified_pe_self_ask_mcp_baseline,results/metrics/scenario_scores.jsonl,
1,core16_extension,A,core_rem16x5_post175_a100_cu_20260505T0940Z_A_post175_15x5_aat_direct,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core16_extension,5,16,80,80,80,benchmarks/cell_A_direct/raw/core_rem16x5_post175_a100_cu_20260505T0940Z_A_post175_15x5_aat_direct,results/metrics/scenario_scores.jsonl,
1,core16_extension,B,core_rem16x5_post175_a100_cu_20260505T0940Z_B_post175_15x5_aat_mcp_baseline,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core16_extension,5,16,80,80,80,benchmarks/cell_B_mcp_baseline/raw/core_rem16x5_post175_a100_cu_20260505T0940Z_B_post175_15x5_aat_mcp_baseline,results/metrics/scenario_scores.jsonl,
1,core16_extension,C,core_rem16x5_post175_a100_cu_20260505T0940Z_C_post175_15x5_aat_mcp_optimized,paper_grade,true,"post-PR175 clean-floor evidence with expected raw JSON, latency, and judge counts",,1913c6e4703425f735d8cb8297cb890ba66bbeff,PR #175 over PR #180; team13/main@1913c6e4703425f735d8cb8297cb890ba66bbeff,core16_extension,5,16,80,80,80,benchmarks/cell_C_mcp_optimized/raw/core_rem16x5_post175_a100_cu_20260505T0940Z_C_post175_15x5_aat_mcp_optimized,results/metrics/scenario_scores.jsonl,
