audit_id,audit_date,batch_id,run_label,run_name,scenario_id,trial_index,trajectory_file,judge_score_6d,judge_pass,manual_pass,judge_manual_agree,manual_error_class,obvious_hallucination_or_unsupported_claim,missing_required_action,unsafe_or_invalid_action,missing_or_invalid_evidence,trajectory_success_flag,tool_error_count,manual_note
AUD-001,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,YS_BASELINE,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_YS_BASELINE_final6_mitigation_baseline_pe_self_ask,SGT-009,1,benchmarks/cell_Y_plan_execute/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_YS_BASELINE_final6_mitigation_baseline_pe_self_ask/2026-05-04_Y_llama-3-1-8b-instruct_plan_execute_baseline_multi_01_end_to_end_fault_response_run01.json,0.0,false,false,true,tool_validation_error;unsupported_finalization,true,false,false,true,true,3,Final answer asserts high risk/work order despite failed metadata and RUL forecast call; judge failure looks correct.
AUD-002,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,ZS_REPAIR,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_REPAIR_final6_mitigation_missing_evidence_repair_verified_pe_self_ask,SGT-009,1,benchmarks/cell_Z_hybrid/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_REPAIR_final6_mitigation_missing_evidence_repair_verified_pe_self_ask/2026-05-04_Z_llama-3-1-8b-instruct_verified_pe_baseline_multi_01_end_to_end_fault_response_run01.json,1.0,true,true,true,repaired_tool_validation_error,false,false,false,false,true,3,"Initial metadata/RUL calls fail, but repair retries succeed and final answer cites sensor/DGA/RUL/work-order evidence; judge pass looks correct."
AUD-003,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,ZS_BASELINE,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_BASELINE_final6_mitigation_baseline_verified_pe_self_ask,SGT-009,3,benchmarks/cell_Z_hybrid/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_BASELINE_final6_mitigation_baseline_verified_pe_self_ask/2026-05-04_Z_llama-3-1-8b-instruct_verified_pe_baseline_multi_01_end_to_end_fault_response_run03.json,0.0,false,false,true,tool_validation_error;unsupported_risk_claim,true,false,false,true,true,3,Final answer conflates projected RUL with downtime after failed forecast call; judge failure looks correct.
AUD-004,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,ZS_REPAIR,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_REPAIR_final6_mitigation_missing_evidence_repair_verified_pe_self_ask,SGT-010,5,benchmarks/cell_Z_hybrid/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_REPAIR_final6_mitigation_missing_evidence_repair_verified_pe_self_ask/2026-05-04_Z_llama-3-1-8b-instruct_verified_pe_baseline_multi_02_dga_to_workorder_pipeline_run05.json,1.0,true,true,true,none,false,false,false,false,true,0,DGA diagnosis plus thermal trend support immediate outage-maintenance decision; judge pass looks correct.
AUD-005,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,ZS_REPAIR,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_REPAIR_final6_mitigation_missing_evidence_repair_verified_pe_self_ask,SGT-018,3,benchmarks/cell_Z_hybrid/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_REPAIR_final6_mitigation_missing_evidence_repair_verified_pe_self_ask/2026-05-04_Z_llama-3-1-8b-instruct_verified_pe_baseline_wo_04_fault_record_downtime_update_run03.json,0.0,false,false,true,work_order_lifecycle_error,true,true,false,true,false,3,Fault retrieval/downtime/update sequence fails and final answer contains unsupported placeholders; judge failure looks correct.
AUD-006,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,YS_ADJ,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_YS_ADJ_final6_mitigation_fault_risk_adjudication_pe_self_ask,SGT-012,1,benchmarks/cell_Y_plan_execute/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_YS_ADJ_final6_mitigation_fault_risk_adjudication_pe_self_ask/2026-05-04_Y_llama-3-1-8b-instruct_plan_execute_baseline_iot_04_load_current_overload_check_run01.json,1.0,true,true,true,none,false,false,false,false,true,0,"Retrieves load-current data, reports elevated status, peak value, timestamp, and anomaly count; judge pass looks correct."
AUD-007,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,ZS_ADJ,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_ADJ_final6_mitigation_fault_risk_adjudication_verified_pe_self_ask,SGT-014,1,benchmarks/cell_Z_hybrid/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_ADJ_final6_mitigation_fault_risk_adjudication_verified_pe_self_ask/2026-05-04_Z_llama-3-1-8b-instruct_verified_pe_baseline_fmsr_04_dga_full_diagnostic_chain_run01.json,0.0,false,false,true,fault_mechanism_mismatch,false,false,false,true,true,1,DGA label is low-temperature overheating but catalogue mechanism is reported as arc discharge after correlation error; judge failure looks correct.
AUD-008,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,ZS_ADJ,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_ADJ_final6_mitigation_fault_risk_adjudication_verified_pe_self_ask,SGT-010,5,benchmarks/cell_Z_hybrid/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_ZS_ADJ_final6_mitigation_fault_risk_adjudication_verified_pe_self_ask/2026-05-04_Z_llama-3-1-8b-instruct_verified_pe_baseline_multi_02_dga_to_workorder_pipeline_run05.json,1.0,true,true,true,none,false,false,false,false,true,0,DGA and thermal trend evidence support immediate outage-maintenance recommendation; judge pass looks correct.
AUD-009,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,YS_REPAIR,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_YS_REPAIR_final6_mitigation_missing_evidence_repair_pe_self_ask,SGT-012,2,benchmarks/cell_Y_plan_execute/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_YS_REPAIR_final6_mitigation_missing_evidence_repair_pe_self_ask/2026-05-04_Y_llama-3-1-8b-instruct_plan_execute_baseline_iot_04_load_current_overload_check_run02.json,1.0,true,true,true,none,false,false,false,false,true,0,Load-current retrieval and peak/elevated assessment are present; judge pass looks correct.
AUD-010,2026-05-05,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z,YS_GUARD,mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_YS_GUARD_final6_mitigation_missing_evidence_guard_pe_self_ask,SGT-009,1,benchmarks/cell_Y_plan_execute/raw/mitigation_final6_5x6_4tier_post180_a100_ixqt_west3_20260504T2015Z_YS_GUARD_final6_mitigation_missing_evidence_guard_pe_self_ask/2026-05-04_Y_llama-3-1-8b-instruct_plan_execute_baseline_multi_01_end_to_end_fault_response_run01.json,0.0,false,false,true,tool_validation_error;unsupported_finalization,true,false,false,true,false,3,Guarded lane still finalizes over invalid/missing evidence for the multi-domain incident response; judge failure looks correct.
