paper_eligible,exclude_reason,auto_taxonomy_label,failed_dims,failed_dim_count,audit_status,score_6d,pass,pass_threshold,dim_task_completion,dim_data_retrieval_accuracy,dim_agent_sequence_correct,dim_clarity_and_justification,dim_generalized_result_verification,dim_hallucinations,run_name,cohort_id,experiment_cell,orchestration_mode,mcp_mode,model_id,judge_model,scenario_id,scenario_file,trial_index,trajectory_file,wandb_run_url,suggestions,scored_at,schema_version
true,,low_task_completion,"task_completion,data_retrieval_accuracy,agent_sequence_correct,generalized_result_verification,clarity_and_justification",5,auto_only,0.0,False,0.6,False,False,False,False,False,True,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-001,data/scenarios/iot_01_list_transformer_sensors.json,2,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_iot_01_list_transformer_sensors_run02.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,The agent failed to retrieve the latest sensor readings and did not provide the required information in the final answer.,2026-05-05T08:10:31.093584+00:00,v1
true,,low_task_completion,"task_completion,data_retrieval_accuracy,agent_sequence_correct,generalized_result_verification",4,auto_only,0.1667,False,0.6,False,False,False,True,False,True,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-001,data/scenarios/iot_01_list_transformer_sensors.json,5,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_iot_01_list_transformer_sensors_run05.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,The agent should correctly use the get_sensor_readings tool to retrieve the latest sensor values instead of hallucinating the results.,2026-05-05T08:10:34.853481+00:00,v1
true,,low_agent_sequence_correct,"agent_sequence_correct,generalized_result_verification",2,auto_only,0.5,False,0.6,True,True,False,True,False,True,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-003,data/scenarios/fmsr_01_dga_fault_mode_diagnosis.json,2,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_fmsr_01_dga_fault_mode_diagnosis_run02.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,Improve grounding by directly mapping DGA results to known fault modes and mechanisms,2026-05-05T08:10:16.616971+00:00,v1
true,,low_task_completion,"task_completion,agent_sequence_correct,generalized_result_verification,clarity_and_justification",4,auto_only,0.1667,False,0.6,False,True,False,False,False,True,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-003,data/scenarios/fmsr_01_dga_fault_mode_diagnosis.json,4,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_fmsr_01_dga_fault_mode_diagnosis_run04.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,The agent should have used the DGA analysis results more effectively and provided a more grounded diagnosis based on the IEC code and gas ratios.,2026-05-05T08:10:19.188942+00:00,v1
true,,low_task_completion,"task_completion,agent_sequence_correct,generalized_result_verification,clarity_and_justification",4,auto_only,0.1667,False,0.6,False,True,False,False,False,True,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-005,data/scenarios/tsfm_01_rul_forecast_maintenance_window.json,4,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_tsfm_01_rul_forecast_maintenance_window_run04.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,The agent should correctly interpret the RUL forecast and provide a maintenance recommendation based on it.,2026-05-05T08:11:24.562029+00:00,v1
true,,low_task_completion,"task_completion,data_retrieval_accuracy,agent_sequence_correct,hallucinations,generalized_result_verification",5,auto_only,0.3333,False,0.6,False,False,False,True,False,False,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-006,data/scenarios/tsfm_02_hotspot_temp_anomaly.json,2,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_tsfm_02_hotspot_temp_anomaly_run02.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,Check data availability for transformer T-019 and sensor winding_temp_c before running anomaly detection.,2026-05-05T08:11:27.780015+00:00,v1
true,,low_task_completion,"task_completion,data_retrieval_accuracy,agent_sequence_correct,generalized_result_verification,clarity_and_justification",5,auto_only,0.0,False,0.6,False,False,False,False,False,True,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-006,data/scenarios/tsfm_02_hotspot_temp_anomaly.json,3,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_tsfm_02_hotspot_temp_anomaly_run03.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,Agent failed to provide any response or trajectory for the given task,2026-05-05T08:11:28.987624+00:00,v1
true,,low_task_completion,"task_completion,data_retrieval_accuracy,agent_sequence_correct,generalized_result_verification,clarity_and_justification",5,auto_only,0.0,False,0.6,False,False,False,False,False,True,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-007,data/scenarios/wo_01_create_inspection_order.json,1,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_wo_01_create_inspection_order_run01.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,"The agent failed to provide a structured work order with all required fields, such as required technician skill set.",2026-05-05T08:11:32.022181+00:00,v1
true,,low_agent_sequence_correct,"agent_sequence_correct,generalized_result_verification,clarity_and_justification",3,auto_only,0.3333,False,0.6,True,True,False,False,False,True,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-007,data/scenarios/wo_01_create_inspection_order.json,4,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_wo_01_create_inspection_order_run04.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,"Provide a clear and structured final answer directly related to the task, and ensure the agent's sequence of actions is logical and justifiable.",2026-05-05T08:11:35.265487+00:00,v1
true,,low_agent_sequence_correct,"agent_sequence_correct,generalized_result_verification,clarity_and_justification",3,auto_only,0.3333,False,0.6,True,True,False,False,False,True,core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct,core15_broad,A,agent_as_tool,direct,openai/Llama-3.1-8B-Instruct,watsonx/meta-llama/llama-4-maverick-17b-128e-instruct-fp8,SGT-007,data/scenarios/wo_01_create_inspection_order.json,5,benchmarks/cell_A_direct/raw/core15x5_post175_a100_cu_20260505T0724Z_A_post175_15x5_aat_direct/2026-05-05_A_llama-3-1-8b-instruct_agent_as_tool_direct_wo_01_create_inspection_order_run05.json,https://wandb.ai/assetopsbench-smartgrid/assetopsbench-smartgrid/runs/zkxtrs32,Provide a clear plan and validate the generated work order against expected outputs,2026-05-05T08:11:36.413974+00:00,v1
